Mine,Location Description,model_stats,loc_name,sample_name,Season,sample_date,Month,Day,Year,analytic_method,chemical_name,result_text,detect_flag,lab_qualifiers,reporting_detection_limit,result_nd,fraction,sample_type_code,parent_sample_code,result_unit,lab_sdg,sample_id,test_id
Gordon,Gordon,YES,AQF10 - Surface,AQF10WQ,SPRING,5/29/2015,5,29,2015,E3030B/SW6020A,Aluminum,0.0846,Y,,0.002,0.0846,D,N,,mg/l,L1620242,22553165,22552948
Gordon,Gordon,YES,AQF10 - Surface,AQF10WQ,SPRING,5/29/2015,5,29,2015,E3030B/SW6020A,Arsenic,0.00047,Y,,0.0002,0.00047,D,N,,mg/l,L1620242,22553165,22552948
Gordon,Gordon,YES,AQF10 - Surface,AQF10WQ,SPRING,5/29/2015,5,29,2015,E3030B/SW6020A,Copper,0.00034,Y,,0.0002,0.00034,D,N,,mg/l,L1620242,22553165,22552948
Gordon,Gordon,YES,AQF10 - Surface,AQF10WQ,SPRING,5/29/2015,5,29,2015,E3030B/SW6020A,Selenium,,N,<,0.001,0.0005,D,N,,mg/l,L1620242,22553165,22552948
Gordon,Gordon,YES,AQF10 - Surface,AQF10WQ,SPRING,5/29/2015,5,29,2015,SM3030E/SW6020A,Aluminum,0.105,Y,,0.005,0.105,T,N,,mg/l,L1620242,22553165,22552958
Gordon,Gordon,YES,AQF10 - Surface,AQF10WQ,SPRING,5/29/2015,5,29,2015,SM3030E/SW6020A,Arsenic,0.00028,Y,,0.0002,0.00028,T,N,,mg/l,L1620242,22553165,22552958
Gordon,Gordon,YES,AQF10 - Surface,AQF10WQ,SPRING,5/29/2015,5,29,2015,SM3030E/SW6020A,Copper,0.00026,Y,,0.0002,0.00026,T,N,,mg/l,L1620242,22553165,22552958
Gordon,Gordon,YES,AQF10 - Surface,AQF10WQ,SPRING,5/29/2015,5,29,2015,SM3030E/SW6020A,Selenium,,N,<,0.001,0.0005,T,N,,mg/l,L1620242,22553165,22552958
Gordon,Gordon,YES,AQF12 - Surface,AQF12WQ,SPRING,5/30/2015,5,30,2015,E3030B/SW6020A,Aluminum,0.0256,Y,,0.002,0.0256,D,N,,mg/l,L1620242,22553166,22553327
Gordon,Gordon,YES,AQF12 - Surface,AQF12WQ,SPRING,5/30/2015,5,30,2015,E3030B/SW6020A,Arsenic,0.00041,Y,,0.0002,0.00041,D,N,,mg/l,L1620242,22553166,22553327
Gordon,Gordon,YES,AQF12 - Surface,AQF12WQ,SPRING,5/30/2015,5,30,2015,E3030B/SW6020A,Copper,,N,<,0.0002,0.0001,D,N,,mg/l,L1620242,22553166,22553327
Gordon,Gordon,YES,AQF12 - Surface,AQF12WQ,SPRING,5/30/2015,5,30,2015,E3030B/SW6020A,Selenium,,N,<,0.001,0.0005,D,N,,mg/l,L1620242,22553166,22553327
Gordon,Gordon,YES,AQF12 - Surface,AQF12WQ,SPRING,5/30/2015,5,30,2015,SM3030E/SW6020A,Aluminum,0.0459,Y,,0.005,0.0459,T,N,,mg/l,L1620242,22553166,22553336
Gordon,Gordon,YES,AQF12 - Surface,AQF12WQ,SPRING,5/30/2015,5,30,2015,SM3030E/SW6020A,Arsenic,,N,<,0.0002,0.0001,T,N,,mg/l,L1620242,22553166,22553336
Gordon,Gordon,YES,AQF12 - Surface,AQF12WQ,SPRING,5/30/2015,5,30,2015,SM3030E/SW6020A,Copper,0.00033,Y,,0.0002,0.00033,T,N,,mg/l,L1620242,22553166,22553336
Gordon,Gordon,YES,AQF12 - Surface,AQF12WQ,SPRING,5/30/2015,5,30,2015,SM3030E/SW6020A,Selenium,,N,<,0.001,0.0005,T,N,,mg/l,L1620242,22553166,22553336
Gordon,Gordon,YES,AQF13 - Surface,AQF13WQ,SPRING,6/1/2015,6,1,2015,E3030B/SW6020A,Aluminum,0.0061,Y,,0.002,0.0061,D,N,,mg/l,L1621121,22553307,22553906
Gordon,Gordon,YES,AQF13 - Surface,AQF13WQ,SPRING,6/1/2015,6,1,2015,E3030B/SW6020A,Arsenic,0.00022,Y,,0.0002,0.00022,D,N,,mg/l,L1621121,22553307,22553906
Gordon,Gordon,YES,AQF13 - Surface,AQF13WQ,SPRING,6/1/2015,6,1,2015,E3030B/SW6020A,Copper,0.00035,Y,,0.0002,0.00035,D,N,,mg/l,L1621121,22553307,22553906
Gordon,Gordon,YES,AQF13 - Surface,AQF13WQ,SPRING,6/1/2015,6,1,2015,E3030B/SW6020A,Selenium,,N,<,0.001,0.0005,D,N,,mg/l,L1621121,22553307,22553906
Gordon,Gordon,YES,AQF13 - Surface,AQF13WQ,SPRING,6/1/2015,6,1,2015,SM3030E/SW6020A,Aluminum,0.0169,Y,,0.005,0.0169,T,N,,mg/l,L1621121,22553307,22553915
Gordon,Gordon,YES,AQF13 - Surface,AQF13WQ,SPRING,6/1/2015,6,1,2015,SM3030E/SW6020A,Arsenic,0.00023,Y,,0.0002,0.00023,T,N,,mg/l,L1621121,22553307,22553915
